"from","to","transaction_id","date","amount"
"211455","120456","367733","1983-01-18","602749000"
"668105","913372","910193","2016-02-28","446802000"
"995104","140200","127036","2000-08-22","183884000"
"847189","995416","820572","1973-02-25","664552000"
"443038","640196","664627","1986-10-28","111787000"
"440624","102457","175730","1976-02-09","463750000"
"204065","462977","616126","1977-03-23","50019000"
"264260","118273","499711","1986-12-25","509780000"
"999268","264260","792524","1987-07-06","804549000"
"760329","290613","245709","1972-06-24","502090000"
"826529","913372","376455","2006-04-28","384187000"
"290613","923756","687606","1979-03-29","504815000"
"226463","829318","662193","1986-08-08","692505000"
"443038","689852","925688","2005-01-12","55229000"
"371302","538526","755740","2012-03-30","464357000"
"291955","313582","544091","2009-12-21","1982000"
"732389","938411","297746","2017-08-06","589424000"
"826529","291955","216255","2019-08-05","585547000"
"309532","995416","294245","2003-11-27","267216000"
"867145","913372","755134","2008-12-02","430260000"
"641091","925369","324849","1995-11-24","90637000"
"444366","720487","245171","2006-03-02","131065000"
"732389","894451","706551","2007-05-03","942040000"
"807196","948388","278958","1994-02-09","45775000"
"752879","613769","133151","1977-02-15","657228000"
"351943","197622","259821","2012-03-28","487972000"
"646215","613769","797582","1996-05-17","378230000"
"661716","290613","984266","2004-09-14","271566000"
"167531","801888","597535","2011-02-17","900854000"
"648906","966625","478715","2016-11-21","384219000"
"725563","137312","718056","1983-10-18","634815000"
"640196","461316","895154","2010-08-30","944722000"
"291955","142323","679226","2002-09-30","16392000"
"909738","544013","244554","2008-08-12","60824000"
"371302","181370","757227","1998-10-03","618778000"
"867145","857359","422797","2006-04-27","992601000"
"138347","552418","791140","1976-08-23","383529000"
"634187","167531","924578","2009-10-11","324806000"
"661716","895502","531891","1992-03-23","57276000"
"476365","770570","360134","1998-02-15","519009000"
"468404","440624","541681","2012-04-10","130332000"
"111574","962166","736092","2014-03-19","649284000"
"195022","197622","667679","1986-06-26","672353000"
"690612","857359","730037","1986-04-18","516587000"
"754062","289285","116440","2010-10-12","217294000"
"639316","197622","853993","1976-09-27","774502000"
"648906","681287","896867","1997-06-15","952926000"
"767466","440624","751491","2015-03-08","874478000"
"760329","928095","844469","2011-05-20","163169000"
"920309","211455","595614","2010-01-12","611428000"
"776482","909738","573596","1995-09-28","805800000"
"973855","645462","958534","2014-10-06","453539000"
"752879","475006","806480","1999-03-23","382494000"
"264260","355357","202408","1989-12-20","243052000"
"916696","998515","590665","2006-03-26","134935000"
"645180","600682","574819","2000-03-26","391408000"
"618215","705174","233157","2006-11-17","487349000"
"628167","538991","533903","1970-09-24","27740000"
"913744","544013","709832","2014-12-07","591353000"
"407736","754062","501311","2019-08-03","740780000"
"646215","995104","760744","2014-05-26","307518000"
"118913","895502","384536","1997-08-19","148067000"
"752879","865959","713226","2015-03-09","668382000"
"291955","181370","406487","1971-01-09","290017000"
"291955","766023","137397","2008-11-17","196026000"
"544644","857359","362203","1975-10-30","904233000"
"720487","995825","312748","1997-03-09","768956000"
"909738","538526","618364","1999-12-26","652893000"
"744865","898933","433722","1977-08-24","966974000"
"423314","461316","676114","2014-11-15","36544000"
"770570","631630","243601","1978-06-13","100077000"
"367353","723370","905973","2006-12-04","878162000"
"598187","668105","249781","1981-09-30","798309000"
"579207","101213","561899","1992-12-17","138091000"
"881024","991750","338544","1974-02-17","306402000"
"776482","801888","617227","2013-03-25","342473000"
"252049","973855","961252","2006-12-03","536570000"
"475006","307708","506457","2015-03-04","913812000"
"668105","468404","775189","1974-01-19","794617000"
"857359","916696","810123","1976-02-24","518772000"
"726923","197622","297921","1991-06-14","136071000"
"127421","823309","839634","2004-07-06","293490000"
"981311","468404","546954","1979-06-15","1938000"
"720487","829318","747954","2017-04-19","627813000"
"881024","289285","339148","1974-08-10","146474000"
"881024","203473","840201","1998-07-12","411874000"
"552418","444366","359789","2016-07-28","415516000"
"834002","195022","410025","2011-04-15","795600000"
"108610","389470","103048","1979-06-26","994040000"
"973855","867145","522678","1977-01-26","527979000"
"959430","134517","212106","2002-10-16","619676000"
"966625","763900","654575","1987-10-29","932369000"
"494783","640196","235503","1999-07-21","127349000"
"664517","767466","915925","2001-03-17","766494000"
"600682","149847","725830","2012-07-17","418261000"
"938411","294032","541176","1999-11-27","733801000"
"663784","138347","390467","1976-04-03","33264000"
"203473","167531","567641","2019-04-13","134956000"
"948388","176624","485784","2013-08-18","381848000"
"264260","138347","435368","1970-10-16","202105000"
"181370","766023","581378","1992-10-15","298648000"
"823309","987148","730953","2017-05-31","341433000"
"753521","137312","427813","1986-02-16","984435000"
"734268","766023","526170","2002-04-19","698981000"
"134517","190028","591890","2009-05-11","912105000"
"998515","881024","953792","2018-10-16","615168000"
"754062","428015","131666","1979-11-04","428876000"
"801888","948388","720309","2007-07-29","571422000"
"896200","252049","191705","2007-03-28","337574000"
"981862","661716","745276","2001-05-09","260395000"
"987005","291955","864857","2004-03-30","579410000"
"440624","501352","928101","1981-06-17","990893000"
"981862","176624","577508","1970-11-24","478662000"
"463290","665940","299178","1971-11-13","349005000"
"971726","167531","770836","1988-06-11","180916000"
"909738","676211","901913","1997-07-23","436807000"
"718396","690612","723390","2016-08-07","232078000"
"469397","664517","138487","1997-09-25","779579000"
"829318","203473","894621","2002-11-22","36920000"
"146565","661716","697126","2009-02-01","620328000"
"134517","454020","921221","1984-10-17","833920000"
"538991","440624","875813","1970-03-08","245533000"
"759230","127421","289791","1972-01-08","804519000"
"759230","981862","117858","1987-10-25","875213000"
"313582","767466","775126","1996-03-28","489655000"
"668105","443038","654676","1978-11-06","336318000"
"759230","266258","451875","2017-02-07","258533000"
"916696","759230","963683","1999-10-23","428141000"
"754062","137312","663664","2002-11-18","569177000"
