"from","to","relation","date"
"10318184959","60998193625","PARENT","1987-06-23"
"60998193625","10318184959","OFFSPRING","1987-06-23"
"21840356076","31937916488","SPOUSE","2005-01-07"
"31937916488","21840356076","SPOUSE","2005-01-07"
"84320556439","30422525320","PARENT","1972-09-28"
"30422525320","84320556439","OFFSPRING","1972-09-28"
"48070356279","69568323150","SPOUSE","2004-12-29"
"69568323150","48070356279","SPOUSE","2004-12-29"
"65024499608","58814184889","SPOUSE","2015-10-01"
"58814184889","65024499608","SPOUSE","2015-10-01"
"57074933189","31744245149","SPOUSE","1970-03-21"
"31744245149","57074933189","SPOUSE","1970-03-21"
"67245716854","19081257821","PARENT","2014-03-11"
"19081257821","67245716854","OFFSPRING","2014-03-11"
"82410881555","36763226184","SPOUSE","1990-02-06"
"36763226184","82410881555","SPOUSE","1990-02-06"
"80309559746","90792622874","PARENT","1981-01-10"
"90792622874","80309559746","OFFSPRING","1981-01-10"
"67245716854","40119347287","PARENT","1977-04-25"
"40119347287","67245716854","OFFSPRING","1977-04-25"
"51352605215","55789494292","SPOUSE","1997-04-08"
"55789494292","51352605215","SPOUSE","1997-04-08"
"75899312417","70232533224","SIBLING","1997-06-25"
"70232533224","75899312417","SIBLING","1997-06-25"
"31190689286","95975015130","SPOUSE","1974-10-16"
"95975015130","31190689286","SPOUSE","1974-10-16"
"81729767675","59095165555","SPOUSE","1979-06-29"
"59095165555","81729767675","SPOUSE","1979-06-29"
"71477117859","81479111671","SIBLING","2015-05-11"
"81479111671","71477117859","SIBLING","2015-05-11"
"81729767675","75899312417","SPOUSE","2000-09-08"
"75899312417","81729767675","SPOUSE","2000-09-08"
"85113697370","65024499608","SIBLING","2011-12-20"
"65024499608","85113697370","SIBLING","2011-12-20"
"81041355243","71477117859","SIBLING","2003-07-09"
"71477117859","81041355243","SIBLING","2003-07-09"
"64675292699","71477117859","SPOUSE","1987-11-13"
"71477117859","64675292699","SPOUSE","1987-11-13"
"33446405930","18536238376","SPOUSE","2004-04-09"
"18536238376","33446405930","SPOUSE","2004-04-09"
"30937646422","77132792314","SPOUSE","1996-01-12"
"77132792314","30937646422","SPOUSE","1996-01-12"
"67245716854","46730468386","SPOUSE","2013-04-16"
"46730468386","67245716854","SPOUSE","2013-04-16"
"33471662463","92637325775","PARENT","1989-05-16"
"92637325775","33471662463","OFFSPRING","1989-05-16"
"80309559746","90792622874","SPOUSE","1990-03-24"
"90792622874","80309559746","SPOUSE","1990-03-24"
"30937646422","97224291214","PARENT","2016-07-03"
"97224291214","30937646422","OFFSPRING","2016-07-03"
"87179915573","87474057898","PARENT","1997-09-29"
"87474057898","87179915573","OFFSPRING","1997-09-29"
"45892798683","85113697370","SPOUSE","1986-10-06"
"85113697370","45892798683","SPOUSE","1986-10-06"
"60998193625","46091309461","SIBLING","1996-07-19"
"46091309461","60998193625","SIBLING","1996-07-19"
"93395191107","84320556439","SPOUSE","2006-08-31"
"84320556439","93395191107","SPOUSE","2006-08-31"
"33471662463","90857258083","SPOUSE","1998-04-28"
"90857258083","33471662463","SPOUSE","1998-04-28"
"30422525320","33553765741","SPOUSE","1979-03-01"
"33553765741","30422525320","SPOUSE","1979-03-01"
"60998193625","87118262521","SIBLING","2009-03-15"
"87118262521","60998193625","SIBLING","2009-03-15"
"87118262521","15292535857","SIBLING","2004-04-01"
"15292535857","87118262521","SIBLING","2004-04-01"
"33471662463","10318184959","PARENT","1995-09-09"
"10318184959","33471662463","OFFSPRING","1995-09-09"
"19081257821","90792622874","SIBLING","1985-03-20"
"90792622874","19081257821","SIBLING","1985-03-20"
"30422525320","75670892400","SPOUSE","2000-04-07"
"75670892400","30422525320","SPOUSE","2000-04-07"
"59095165555","51074823863","SPOUSE","2004-01-08"
"51074823863","59095165555","SPOUSE","2004-01-08"
"84320556439","10969146971","PARENT","2009-05-18"
"10969146971","84320556439","OFFSPRING","2009-05-18"
"87474057898","89099625554","SIBLING","2012-03-15"
"89099625554","87474057898","SIBLING","2012-03-15"
"33446405930","15003722057","PARENT","1971-07-20"
"15003722057","33446405930","OFFSPRING","1971-07-20"
"51481148599","62682190910","SPOUSE","2017-06-15"
"62682190910","51481148599","SPOUSE","2017-06-15"
"75311164356","56564771843","SIBLING","2008-10-22"
"56564771843","75311164356","SIBLING","2008-10-22"
"19952263664","72309449583","SIBLING","1971-11-11"
"72309449583","19952263664","SIBLING","1971-11-11"
"76465777888","56564771843","PARENT","1987-07-20"
"56564771843","76465777888","OFFSPRING","1987-07-20"
"40119347287","46519294740","SIBLING","1981-04-07"
"46519294740","40119347287","SIBLING","1981-04-07"
"19952263664","19769920845","PARENT","1992-10-14"
"19769920845","19952263664","OFFSPRING","1992-10-14"
"30937646422","90792622874","SIBLING","1970-06-23"
"90792622874","30937646422","SIBLING","1970-06-23"
"48070356279","46519294740","SIBLING","1975-04-22"
"46519294740","48070356279","SIBLING","1975-04-22"
"46730468386","81041355243","SPOUSE","2008-04-22"
"81041355243","46730468386","SPOUSE","2008-04-22"
"90766043717","86491215045","SPOUSE","2019-10-01"
"86491215045","90766043717","SPOUSE","2019-10-01"
"82526933183","93325550487","PARENT","2016-04-06"
"93325550487","82526933183","OFFSPRING","2016-04-06"
"60998193625","74538292115","SIBLING","1988-01-03"
"74538292115","60998193625","SIBLING","1988-01-03"
"90857258083","50534322010","SPOUSE","2012-05-23"
"50534322010","90857258083","SPOUSE","2012-05-23"
"75899312417","46091309461","SPOUSE","1970-02-27"
"46091309461","75899312417","SPOUSE","1970-02-27"
"42167291116","87118262521","PARENT","2013-04-11"
"87118262521","42167291116","OFFSPRING","2013-04-11"
"90792622874","69568323150","PARENT","2018-08-09"
"69568323150","90792622874","OFFSPRING","2018-08-09"
"77888219035","90208511396","PARENT","2018-05-14"
"90208511396","77888219035","OFFSPRING","2018-05-14"
"36763226184","86778582069","SIBLING","1999-04-28"
"86778582069","36763226184","SIBLING","1999-04-28"
"40379122367","46519294740","SPOUSE","1985-01-26"
"46519294740","40379122367","SPOUSE","1985-01-26"
"27829673848","61082455547","SPOUSE","1991-03-02"
"61082455547","27829673848","SPOUSE","1991-03-02"
"77132792314","15292535857","SPOUSE","2008-07-31"
"15292535857","77132792314","SPOUSE","2008-07-31"
"57074933189","19652613981","SPOUSE","1970-01-24"
"19652613981","57074933189","SPOUSE","1970-01-24"
"36405577647","19652613981","SIBLING","2009-06-24"
"19652613981","36405577647","SIBLING","2009-06-24"
"92637325775","97224291214","SIBLING","1975-04-12"
"97224291214","92637325775","SIBLING","1975-04-12"
"68457066061","93325550487","SPOUSE","1983-04-11"
"93325550487","68457066061","SPOUSE","1983-04-11"
"90208511396","74538292115","SPOUSE","1985-11-13"
"74538292115","90208511396","SPOUSE","1985-11-13"
"31190689286","90766043717","PARENT","2001-06-23"
"90766043717","31190689286","OFFSPRING","2001-06-23"
"65024499608","92637325775","SPOUSE","1974-12-05"
"92637325775","65024499608","SPOUSE","1974-12-05"
"60998193625","76468328120","SIBLING","1983-10-31"
"76468328120","60998193625","SIBLING","1983-10-31"
"62682190910","69191273419","SPOUSE","1975-10-17"
"69191273419","62682190910","SPOUSE","1975-10-17"
"48070356279","46730468386","PARENT","2019-04-26"
"46730468386","48070356279","OFFSPRING","2019-04-26"
"65024499608","15003722057","SPOUSE","2006-01-10"
"15003722057","65024499608","SPOUSE","2006-01-10"
"19081257821","31744245149","SPOUSE","1999-05-12"
"31744245149","19081257821","SPOUSE","1999-05-12"
"31190689286","36763226184","SPOUSE","1989-01-17"
"36763226184","31190689286","SPOUSE","1989-01-17"
"82410881555","22824903205","PARENT","1978-04-07"
"22824903205","82410881555","OFFSPRING","1978-04-07"
"81041355243","19952263664","PARENT","1989-01-08"
"19952263664","81041355243","OFFSPRING","1989-01-08"
"15292535857","33446405930","SPOUSE","2013-07-30"
"33446405930","15292535857","SPOUSE","2013-07-30"
"64675292699","58814184889","PARENT","1996-10-09"
"58814184889","64675292699","OFFSPRING","1996-10-09"
"36405577647","76465777888","PARENT","1987-07-27"
"76465777888","36405577647","OFFSPRING","1987-07-27"
"86778582069","81479111671","SIBLING","1989-10-11"
"81479111671","86778582069","SIBLING","1989-10-11"
"27829673848","19652613981","SIBLING","2016-03-16"
"19652613981","27829673848","SIBLING","2016-03-16"
"65024499608","40119347287","PARENT","1995-01-22"
"40119347287","65024499608","OFFSPRING","1995-01-22"
"69448536714","74538292115","SPOUSE","2014-12-19"
"74538292115","69448536714","SPOUSE","2014-12-19"
"40119347287","76465777888","SPOUSE","1987-01-26"
"76465777888","40119347287","SPOUSE","1987-01-26"
"11825927551","75670892400","PARENT","2005-01-18"
"75670892400","11825927551","OFFSPRING","2005-01-18"
"19769920845","93395191107","SIBLING","1994-05-06"
"93395191107","19769920845","SIBLING","1994-05-06"
"47674564865","69448536714","SPOUSE","1987-10-17"
"69448536714","47674564865","SPOUSE","1987-10-17"
"19652613981","19081257821","SIBLING","1990-05-16"
"19081257821","19652613981","SIBLING","1990-05-16"
"16867894969","55789494292","SPOUSE","2005-12-27"
"55789494292","16867894969","SPOUSE","2005-12-27"
"19952263664","47674564865","PARENT","2013-01-18"
"47674564865","19952263664","OFFSPRING","2013-01-18"
"19652613981","31190689286","SIBLING","1983-09-05"
"31190689286","19652613981","SIBLING","1983-09-05"
"19081257821","42043377667","SPOUSE","2015-01-28"
"42043377667","19081257821","SPOUSE","2015-01-28"
"30937646422","19652613981","SPOUSE","2012-05-07"
"19652613981","30937646422","SPOUSE","2012-05-07"
"36763226184","99015504057","SPOUSE","1998-04-29"
"99015504057","36763226184","SPOUSE","1998-04-29"
"42043377667","87474057898","SIBLING","1977-09-02"
"87474057898","42043377667","SIBLING","1977-09-02"
"42043377667","68457066061","SIBLING","1991-10-24"
"68457066061","42043377667","SIBLING","1991-10-24"
"95975015130","97224291214","PARENT","2008-12-08"
"97224291214","95975015130","OFFSPRING","2008-12-08"
"46730468386","58814184889","SPOUSE","1985-04-19"
"58814184889","46730468386","SPOUSE","1985-04-19"
"69448536714","21840356076","PARENT","2015-11-23"
"21840356076","69448536714","OFFSPRING","2015-11-23"
"69448536714","15003722057","SIBLING","1982-04-30"
"15003722057","69448536714","SIBLING","1982-04-30"
"95975015130","92637325775","SIBLING","1995-04-14"
"92637325775","95975015130","SIBLING","1995-04-14"
"72309449583","74538292115","SIBLING","1986-04-29"
"74538292115","72309449583","SIBLING","1986-04-29"
"45892798683","90857258083","PARENT","2016-02-13"
"90857258083","45892798683","OFFSPRING","2016-02-13"
"71477117859","80309559746","PARENT","1995-01-22"
"80309559746","71477117859","OFFSPRING","1995-01-22"
"90857258083","51481148599","PARENT","1972-05-15"
"51481148599","90857258083","OFFSPRING","1972-05-15"
"36405577647","40119347287","PARENT","2008-07-23"
"40119347287","36405577647","OFFSPRING","2008-07-23"
"19081257821","42043377667","SIBLING","1986-08-23"
"42043377667","19081257821","SIBLING","1986-08-23"
"72309449583","97224291214","SPOUSE","1986-06-23"
"97224291214","72309449583","SPOUSE","1986-06-23"
"99015504057","46730468386","SIBLING","2019-06-04"
"46730468386","99015504057","SIBLING","2019-06-04"
"51352605215","69191273419","SPOUSE","1981-06-24"
"69191273419","51352605215","SPOUSE","1981-06-24"
"57074933189","33553765741","SIBLING","1977-11-02"
"33553765741","57074933189","SIBLING","1977-11-02"
"55059926183","30422525320","PARENT","1989-11-01"
"30422525320","55059926183","OFFSPRING","1989-11-01"
"57074933189","90792622874","PARENT","1999-02-02"
"90792622874","57074933189","OFFSPRING","1999-02-02"
"68457066061","90766043717","SPOUSE","2011-10-27"
"90766043717","68457066061","SPOUSE","2011-10-27"
"46730468386","33553765741","SPOUSE","2013-11-25"
"33553765741","46730468386","SPOUSE","2013-11-25"
"87118262521","46519294740","SIBLING","1996-02-25"
"46519294740","87118262521","SIBLING","1996-02-25"
"42167291116","15292535857","SPOUSE","2018-10-22"
"15292535857","42167291116","SPOUSE","2018-10-22"
"19952263664","89501156330","SPOUSE","1994-04-14"
"89501156330","19952263664","SPOUSE","1994-04-14"
"80309559746","87179915573","SPOUSE","1982-07-04"
"87179915573","80309559746","SPOUSE","1982-07-04"
"80309559746","69568323150","PARENT","2014-11-02"
"69568323150","80309559746","OFFSPRING","2014-11-02"
"95975015130","89099625554","SIBLING","2000-07-02"
"89099625554","95975015130","SIBLING","2000-07-02"
"19769920845","46730468386","SIBLING","1987-05-29"
"46730468386","19769920845","SIBLING","1987-05-29"
"15292535857","90792622874","PARENT","1980-07-02"
"90792622874","15292535857","OFFSPRING","1980-07-02"
"80309559746","59095165555","SPOUSE","1973-02-18"
"59095165555","80309559746","SPOUSE","1973-02-18"
"70232533224","50534322010","SPOUSE","1987-02-28"
"50534322010","70232533224","SPOUSE","1987-02-28"
"88999167612","93395191107","SPOUSE","2018-12-10"
"93395191107","88999167612","SPOUSE","2018-12-10"
"69448536714","92132521081","SIBLING","2017-09-20"
"92132521081","69448536714","SIBLING","2017-09-20"
"82526933183","19652613981","PARENT","1991-11-25"
"19652613981","82526933183","OFFSPRING","1991-11-25"
"80309559746","33471662463","SIBLING","1972-07-12"
"33471662463","80309559746","SIBLING","1972-07-12"
"84320556439","48070356279","PARENT","1975-12-14"
"48070356279","84320556439","OFFSPRING","1975-12-14"
"93395191107","62682190910","SIBLING","1972-05-12"
"62682190910","93395191107","SIBLING","1972-05-12"
"95975015130","27829673848","SIBLING","2005-05-26"
"27829673848","95975015130","SIBLING","2005-05-26"
"86491215045","82526933183","SPOUSE","2003-05-25"
"82526933183","86491215045","SPOUSE","2003-05-25"
"84320556439","15292535857","SIBLING","2004-02-20"
"15292535857","84320556439","SIBLING","2004-02-20"
"42043377667","99015504057","SPOUSE","2010-12-31"
"99015504057","42043377667","SPOUSE","2010-12-31"
"87474057898","81479111671","PARENT","1972-08-21"
"81479111671","87474057898","OFFSPRING","1972-08-21"
"46519294740","19652613981","SIBLING","1997-03-29"
"19652613981","46519294740","SIBLING","1997-03-29"
"51074823863","30422525320","SPOUSE","1986-03-14"
"30422525320","51074823863","SPOUSE","1986-03-14"
"51481148599","47674564865","PARENT","2011-11-20"
"47674564865","51481148599","OFFSPRING","2011-11-20"
"31744245149","93325550487","SIBLING","2016-03-11"
"93325550487","31744245149","SIBLING","2016-03-11"
"57074933189","75311164356","PARENT","2015-12-25"
"75311164356","57074933189","OFFSPRING","2015-12-25"
"19652613981","16867894969","SPOUSE","1990-02-06"
"16867894969","19652613981","SPOUSE","1990-02-06"
"89099625554","58814184889","SIBLING","1988-12-25"
"58814184889","89099625554","SIBLING","1988-12-25"
"62682190910","45892798683","SPOUSE","2015-07-18"
"45892798683","62682190910","SPOUSE","2015-07-18"
"33553765741","77132792314","SPOUSE","1991-04-04"
"77132792314","33553765741","SPOUSE","1991-04-04"
"55059926183","92637325775","SPOUSE","1974-10-20"
"92637325775","55059926183","SPOUSE","1974-10-20"
"31190689286","57074933189","SPOUSE","2001-04-18"
"57074933189","31190689286","SPOUSE","2001-04-18"
"89501156330","30937646422","PARENT","1991-06-30"
"30937646422","89501156330","OFFSPRING","1991-06-30"
"77888219035","16867894969","PARENT","2015-03-02"
"16867894969","77888219035","OFFSPRING","2015-03-02"
"46730468386","27829673848","SIBLING","2014-06-01"
"27829673848","46730468386","SIBLING","2014-06-01"
"33446405930","69191273419","SPOUSE","2009-11-26"
"69191273419","33446405930","SPOUSE","2009-11-26"
"22319008932","69191273419","PARENT","2012-02-17"
"69191273419","22319008932","OFFSPRING","2012-02-17"
"56564771843","27829673848","PARENT","1983-06-05"
"27829673848","56564771843","OFFSPRING","1983-06-05"
"46730468386","71477117859","PARENT","2015-01-18"
"71477117859","46730468386","OFFSPRING","2015-01-18"
"90208511396","60998193625","PARENT","1985-03-17"
"60998193625","90208511396","OFFSPRING","1985-03-17"
"69448536714","93325550487","SPOUSE","1982-04-18"
"93325550487","69448536714","SPOUSE","1982-04-18"
"33553765741","45892798683","PARENT","2014-04-01"
"45892798683","33553765741","OFFSPRING","2014-04-01"
"93325550487","60998193625","PARENT","1978-11-26"
"60998193625","93325550487","OFFSPRING","1978-11-26"
"19769920845","93395191107","SIBLING","1995-05-09"
"93395191107","19769920845","SIBLING","1995-05-09"
"11825927551","93395191107","SIBLING","1982-04-13"
"93395191107","11825927551","SIBLING","1982-04-13"
"65024499608","22824903205","SIBLING","1989-09-02"
"22824903205","65024499608","SIBLING","1989-09-02"
"81729767675","90857258083","PARENT","2010-05-13"
"90857258083","81729767675","OFFSPRING","2010-05-13"
"40119347287","76465777888","PARENT","2016-06-23"
"76465777888","40119347287","OFFSPRING","2016-06-23"
"88999167612","47674564865","SPOUSE","1994-11-04"
"47674564865","88999167612","SPOUSE","1994-11-04"
"90792622874","69191273419","SIBLING","2009-06-08"
"69191273419","90792622874","SIBLING","2009-06-08"
"97321613111","87118262521","SIBLING","2004-03-24"
"87118262521","97321613111","SIBLING","2004-03-24"
"90792622874","30937646422","PARENT","1986-05-22"
"30937646422","90792622874","OFFSPRING","1986-05-22"
"76465777888","92132521081","SPOUSE","2001-09-29"
"92132521081","76465777888","SPOUSE","2001-09-29"
"11825927551","88999167612","SPOUSE","1998-04-14"
"88999167612","11825927551","SPOUSE","1998-04-14"
"22319008932","87179915573","SPOUSE","2012-09-01"
"87179915573","22319008932","SPOUSE","2012-09-01"
"21840356076","93395191107","SPOUSE","1996-04-18"
"93395191107","21840356076","SPOUSE","1996-04-18"
"62682190910","97224291214","SPOUSE","2012-04-15"
"97224291214","62682190910","SPOUSE","2012-04-15"
"30422525320","59095165555","PARENT","1989-11-24"
"59095165555","30422525320","OFFSPRING","1989-11-24"
"49737196131","56564771843","SPOUSE","1995-06-19"
"56564771843","49737196131","SPOUSE","1995-06-19"
"10318184959","30422525320","SPOUSE","1995-01-05"
"30422525320","10318184959","SPOUSE","1995-01-05"
"10318184959","90208511396","SPOUSE","2019-02-14"
"90208511396","10318184959","SPOUSE","2019-02-14"
"42043377667","61082455547","PARENT","2010-07-31"
"61082455547","42043377667","OFFSPRING","2010-07-31"
"68457066061","30422525320","SPOUSE","1970-05-19"
"30422525320","68457066061","SPOUSE","1970-05-19"
"51481148599","85113697370","PARENT","1996-05-30"
"85113697370","51481148599","OFFSPRING","1996-05-30"
"11825927551","15003722057","SIBLING","1977-12-24"
"15003722057","11825927551","SIBLING","1977-12-24"
"81041355243","56564771843","PARENT","1990-12-06"
"56564771843","81041355243","OFFSPRING","1990-12-06"
"55059926183","45892798683","SPOUSE","2005-06-18"
"45892798683","55059926183","SPOUSE","2005-06-18"
"50534322010","36763226184","SIBLING","1992-09-25"
"36763226184","50534322010","SIBLING","1992-09-25"
"33471662463","40119347287","SPOUSE","1978-12-29"
"40119347287","33471662463","SPOUSE","1978-12-29"
"85113697370","67245716854","SIBLING","2009-04-05"
"67245716854","85113697370","SIBLING","2009-04-05"
"45892798683","68243571508","PARENT","1996-02-21"
"68243571508","45892798683","OFFSPRING","1996-02-21"
"64675292699","22824903205","SIBLING","2010-05-26"
"22824903205","64675292699","SIBLING","2010-05-26"
"90857258083","67320326336","PARENT","2012-05-11"
"67320326336","90857258083","OFFSPRING","2012-05-11"
"19652613981","97321613111","SPOUSE","1999-08-01"
"97321613111","19652613981","SPOUSE","1999-08-01"
"84320556439","55789494292","SIBLING","1980-09-28"
"55789494292","84320556439","SIBLING","1980-09-28"
"36191272611","19769920845","PARENT","1989-05-17"
"19769920845","36191272611","OFFSPRING","1989-05-17"
"36191272611","69448536714","SPOUSE","2007-09-08"
"69448536714","36191272611","SPOUSE","2007-09-08"
"80309559746","19952263664","SIBLING","1980-11-26"
"19952263664","80309559746","SIBLING","1980-11-26"
"19952263664","31190689286","SIBLING","1987-03-07"
"31190689286","19952263664","SIBLING","1987-03-07"
"15292535857","89099625554","PARENT","1999-05-21"
"89099625554","15292535857","OFFSPRING","1999-05-21"
"42167291116","27829673848","PARENT","1975-03-11"
"27829673848","42167291116","OFFSPRING","1975-03-11"
"19081257821","59095165555","SPOUSE","1992-11-19"
"59095165555","19081257821","SPOUSE","1992-11-19"
"97321613111","90208511396","SPOUSE","2008-03-14"
"90208511396","97321613111","SPOUSE","2008-03-14"
"11825927551","90792622874","SPOUSE","2003-07-03"
"90792622874","11825927551","SPOUSE","2003-07-03"
"90792622874","33553765741","PARENT","2009-09-19"
"33553765741","90792622874","OFFSPRING","2009-09-19"
"16867894969","62682190910","PARENT","1987-02-21"
"62682190910","16867894969","OFFSPRING","1987-02-21"
"62682190910","46730468386","SPOUSE","1990-12-13"
"46730468386","62682190910","SPOUSE","1990-12-13"
"36763226184","86491215045","SPOUSE","1977-01-04"
"86491215045","36763226184","SPOUSE","1977-01-04"
"72309449583","11825927551","PARENT","1972-01-07"
"11825927551","72309449583","OFFSPRING","1972-01-07"
"77888219035","46519294740","SPOUSE","2000-10-16"
"46519294740","77888219035","SPOUSE","2000-10-16"
"90792622874","82410881555","SIBLING","2015-05-19"
"82410881555","90792622874","SIBLING","2015-05-19"
"71477117859","16867894969","PARENT","1975-09-05"
"16867894969","71477117859","OFFSPRING","1975-09-05"
"86491215045","67245716854","PARENT","1982-12-07"
"67245716854","86491215045","OFFSPRING","1982-12-07"
"93395191107","81041355243","PARENT","2008-11-06"
"81041355243","93395191107","OFFSPRING","2008-11-06"
"69191273419","89099625554","SIBLING","1980-04-03"
"89099625554","69191273419","SIBLING","1980-04-03"
"57074933189","89501156330","SIBLING","2001-04-09"
"89501156330","57074933189","SIBLING","2001-04-09"
"58814184889","93395191107","SPOUSE","2001-12-01"
"93395191107","58814184889","SPOUSE","2001-12-01"
"84320556439","61082455547","PARENT","2016-06-11"
"61082455547","84320556439","OFFSPRING","2016-06-11"
"10318184959","84320556439","PARENT","1978-07-07"
"84320556439","10318184959","OFFSPRING","1978-07-07"
"64675292699","27829673848","SIBLING","1997-03-03"
"27829673848","64675292699","SIBLING","1997-03-03"
"49737196131","76468328120","SIBLING","1978-12-17"
"76468328120","49737196131","SIBLING","1978-12-17"
"86491215045","15292535857","PARENT","1974-12-16"
"15292535857","86491215045","OFFSPRING","1974-12-16"
"74538292115","89099625554","SPOUSE","1972-02-29"
"89099625554","74538292115","SPOUSE","1972-02-29"
"89501156330","75311164356","SPOUSE","2018-05-03"
"75311164356","89501156330","SPOUSE","2018-05-03"
"60998193625","46519294740","SIBLING","1984-02-27"
"46519294740","60998193625","SIBLING","1984-02-27"
"75670892400","70232533224","SIBLING","1989-04-16"
"70232533224","75670892400","SIBLING","1989-04-16"
"86491215045","65024499608","PARENT","1993-10-30"
"65024499608","86491215045","OFFSPRING","1993-10-30"
"36191272611","15292535857","SIBLING","1998-06-03"
"15292535857","36191272611","SIBLING","1998-06-03"
"55789494292","68243571508","SPOUSE","2005-01-13"
"68243571508","55789494292","SPOUSE","2005-01-13"
"90208511396","99015504057","SPOUSE","2011-02-22"
"99015504057","90208511396","SPOUSE","2011-02-22"
"81041355243","47674564865","PARENT","2016-09-13"
"47674564865","81041355243","OFFSPRING","2016-09-13"
"56564771843","92637325775","SPOUSE","1986-06-28"
"92637325775","56564771843","SPOUSE","1986-06-28"
"15292535857","46519294740","SIBLING","2011-11-24"
"46519294740","15292535857","SIBLING","2011-11-24"
"87118262521","77888219035","SPOUSE","1992-11-30"
"77888219035","87118262521","SPOUSE","1992-11-30"
"30422525320","42167291116","SIBLING","2008-10-10"
"42167291116","30422525320","SIBLING","2008-10-10"
"36405577647","22319008932","PARENT","2012-10-04"
"22319008932","36405577647","OFFSPRING","2012-10-04"
"90792622874","97321613111","SPOUSE","1996-01-25"
"97321613111","90792622874","SPOUSE","1996-01-25"
"55059926183","51352605215","PARENT","2014-02-20"
"51352605215","55059926183","OFFSPRING","2014-02-20"
"75899312417","87179915573","SPOUSE","2017-07-27"
"87179915573","75899312417","SPOUSE","2017-07-27"
"99015504057","82410881555","SIBLING","2004-12-03"
"82410881555","99015504057","SIBLING","2004-12-03"
"22824903205","71477117859","SIBLING","2015-06-10"
"71477117859","22824903205","SIBLING","2015-06-10"
"92132521081","86778582069","SPOUSE","1997-06-02"
"86778582069","92132521081","SPOUSE","1997-06-02"
"69568323150","31744245149","SIBLING","1985-09-13"
"31744245149","69568323150","SIBLING","1985-09-13"
"90857258083","22319008932","PARENT","1990-07-11"
"22319008932","90857258083","OFFSPRING","1990-07-11"
